Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Ryan,Corinthians U20,Corinthians,"LCMF, RDMF",LCMF,8,21,0,,11,610,Brazil,Brazil,left,170,64,no,11.8,0.295,2.3616,0.44,0.296,0.01,0.15,1.76848,0.15,0.1475,BRA1,Testing,2024,0.09377243273654218,0.0,0.00887592892069932
1,C. de Pena,Bahia,Bahia,"RCMF, DMF",RCMF,8,32,2200000,2024-12-31,23,686,Uruguay,"Uruguay, Italy",left,177,69,no,5.51,4.066084,5.905319,0.79,1.1775,0.3,2.23,6.297156,1.44,1.1808,BRA1,Testing,2024,0.8858890615177271,0.8852869789747468,0.8810252573184829
2,Zé Welison,Fortaleza,Fortaleza,"RCMF, LCMF, LDMF",RCMF,8,29,2000000,2026-12-31,13,687,Brazil,Brazil,right,177,74,no,11.79,3.011772,3.406837,0.26,0.13,0.01,0.26,4.061939,0.13,0.3943120000000001,BRA1,Testing,2024,0.2140659860887489,0.2497731507458277,0.2012884323570481
3,Pepê,Grêmio,Grêmio,"LCMF, LDMF, RCMF",LCMF,8,26,3000000,2025-12-31,13,786,Brazil,Brazil,right,183,77,no,11.56,2.978262,5.49682,0.92,1.374,0.0,0.23,4.9278,0.34,0.572268,BRA1,Testing,2024,0.6942590037238721,0.6317047567923779,0.6495415588333134
4,F. Vera,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, RDMF",RCMF,8,24,4500000,2027-12-31,13,793,Argentina,Argentina,right,180,74,no,7.15,1.7,4.65192,0.91,0.226644,0.02,0.34,5.89875,0.57,0.6779999999999999,BRA1,Testing,2024,0.3523596652763699,0.3428343289313416,0.3215790902205333
5,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,10,794,Brazil,Brazil,right,173,71,no,6.12,1.244635,4.195776,1.47,1.471341,0.03,0.91,3.62661,0.91,1.246644,BRA1,Testing,2024,0.4037164634520801,0.3915235604058206,0.3735970286372803
6,M. Zaracho,Atlético Mineiro,Atlético Mineiro,"LCMF, LW",LCMF,8,26,9000000,2025-12-31,13,802,Argentina,Argentina,right,171,64,no,8.3,1.122312,2.58423,1.46,0.7840560000000001,0.06,0.9,3.256968,0.45,0.224,BRA1,Testing,2024,0.2018333120405343,0.1653384150308494,0.1510271737588794
7,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,11,819,Chile,Chile,right,176,68,yes,9.01,4.282319999999999,5.382376000000001,0.44,0.329967,0.06,0.77,5.272,0.77,0.44,BRA1,Testing,2024,0.557175608348262,0.5641491148917438,0.5431415260092429
8,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"RCMF, LWF",RCMF,8,25,4000000,2026-12-31,12,856,Brazil,Brazil,right,183,73,no,6.62,2.31281,4.733204,1.26,1.05,0.09,1.16,4.207176,1.05,1.364979,BRA1,Testing,2024,0.5656590995734487,0.5467200261036518,0.5384903514973184
9,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,21,891,Brazil,Brazil,right,175,68,no,7.37,1.414604,4.240424999999999,0.61,1.815842,0.2,1.72,3.942596,0.51,1.213745,BRA1,Testing,2024,0.3639913330559147,0.4241803758799404,0.3699219285697341
